stage,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,0,0,0.83,0.83,0,0,0
3dpf,0,0,0,0,4.02,0,0
5dpf,1.55,14.99,5.17,0,14.99,0.52,1.03
10dpf,0.63,16.94,1.26,0,5.02,0,0.63
