stage,central_nervous_system,mesenchyme,paraxial_mesoderm,periderm
24hpf,0,0,0,1
2dpf,0,0,0,0.83
3dpf,2.87,0.57,0.57,2.3
5dpf,0.52,0,0.52,13.95
10dpf,2.51,0,0,1.26
