stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,neural_crest,periderm
2dpf,0,0,0.83,0.83,0,0
3dpf,0,3.45,0,0.57,0.57,0
5dpf,0,5.17,10.34,2.58,0,2.58
10dpf,1.26,14.43,6.28,0,0,0
