stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,10.32,0,0,0,0,0,0,10.32
12hpf,15.42,0,1.93,1.93,0,0,0,0,9.64
14hpf,3.34,0,0,0,0,3.34,0,0,0
16hpf,14.36,2.05,0,2.05,0,0,0,2.05,0
19hpf,35.03,0,0,0,0,0,0,0,4.38
24hpf,18,0,1,3,1,0,1,0,2
2dpf,38.37,0,6.67,10.84,20.85,0.83,0,3.34,3.34
3dpf,83.32,0,4.02,2.3,25.28,1.15,0,0,0.57
5dpf,9.82,0,0.52,2.58,18.09,1.55,0,0,2.58
10dpf,12.55,0.63,0,1.26,8.79,0,0,0,0
