stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,20.65
12hpf,0,0,0,0,0,1.93,0,0,1.93
14hpf,13.38,0,0,0,0,3.34,0,0,0
16hpf,57.42,0,0,0,0,14.36,0,0,0
19hpf,78.81,0,0,0,0,2.19,0,0,0
24hpf,174,0,1,1,1,6,1,2,6
2dpf,303.6,0.83,2.5,6.67,12.51,40.87,31.69,5,12.51
3dpf,1291.8,2.87,2.87,1.72,1.72,40.23,0,0.57,6.32
5dpf,32.04,2.07,2.58,7.75,0.52,42.38,2.58,4.65,17.06
10dpf,450.57,2.51,1.88,8.79,1.88,30.75,3.14,5.02,1.88
