stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,paraxial_mesoderm,periderm
2dpf,0,2.5,0,0,0
3dpf,0.57,0,0,0,1.72
5dpf,0.52,10.34,0.52,1.03,17.06
10dpf,0,0.63,0,0,0
