stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
24hpf,0,41,0,0,0,0,0
2dpf,0.83,15.01,0,0.83,1.67,0,0
3dpf,2.87,0.57,0,0,0.57,0,0
5dpf,1.03,13.44,0,0.52,1.55,0.52,0.52
10dpf,0.63,22.59,0.63,0,3.77,0,1.26
