stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme
2dpf,1.67,0,0,0
3dpf,0,1.15,0,0
5dpf,0,0.52,0,0.52
10dpf,2.51,21.96,6.9,0.63
