stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,640.02,30.97,0,0,144.52,10.32,0,51.61,268.4,350.98
12hpf,1578.83,123.38,15.42,48.19,501.22,133.01,5.78,109.88,871.34,616.88
14hpf,692.18,50.16,70.22,110.35,300.95,127.07,6.69,33.44,521.64,431.36
16hpf,551.67,131.25,86.13,170.22,367.1,164.07,38.97,38.97,611.14,459.38
19hpf,709.3,28.46,65.68,118.22,170.76,98.51,32.84,6.57,232.05,264.89
24hpf,442,47,168,128,215,84,40,3,466,113
2dpf,604.71,30.86,112.6,146.8,355.32,673.93,79.24,16.68,150.13,258.56
3dpf,1418.8,54.59,71.83,90.79,43.1,633.26,18.96,0,39.08,121.82
5dpf,149.36,46.51,171.59,196.39,46,425.35,31.53,20.16,106.98,359.71
10dpf,545.95,87.85,245.99,164.41,42.04,651.38,33.89,1.26,85.97,125.51
