stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
16hpf,2.05,0,0,0,0,0,0
2dpf,10.01,0,0.83,0.83,0,0.83,1.67
3dpf,84.47,0.57,0,1.15,0,0,0
5dpf,0,0,0,1.55,0.52,0,1.55
10dpf,16.32,0,0,1.26,1.26,0,0
