stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,periderm
2dpf,1.67,0,0,1.67,0
3dpf,0,0,0.57,0.57,0
5dpf,0,0,4.13,0.52,3.1
10dpf,0,0.63,19.45,0,0
