stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,309.69,0,0,0,0,0,0,30.97,0
12hpf,462.66,9.64,0,0,1.93,0,21.21,38.56,3.86
14hpf,170.54,6.69,0,0,3.34,0,10.03,33.44,103.66
16hpf,45.12,4.1,0,0,0,0,14.36,14.36,38.97
19hpf,59.11,0,0,2.19,0,0,6.57,4.38,0
24hpf,19,0,0,0,0,0,1,3,1
2dpf,5.84,0,0,0.83,0,1.67,0,0,0.83
3dpf,8.05,0,0.57,0,0,1.15,0,0.57,0
5dpf,3.62,0.52,0.52,0,0,1.03,0,0.52,1.03
10dpf,1.88,0,0,0,0,0,0,0,0.63
