stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,3.34,0,0,0.83,0.83,1.67,0,0
3dpf,7.47,0,0,0,0.57,2.3,0,0.57
5dpf,0,0.52,0.52,0.52,0,4.65,1.03,0.52
10dpf,12.55,0,1.26,0.63,0.63,5.65,0,0.63
