stage,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
24hpf,0,1,0,0,0,0
3dpf,0,0,0,0.57,0,0
5dpf,1.03,0,0.52,1.55,0.52,1.03
10dpf,1.26,0,0,0,0,0
