stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0,0,0,0,0,0.83,14.18
3dpf,0.57,0,0,0,0.57,2.87,0
5dpf,0,0,0.52,1.03,0,0,6.72
10dpf,0.63,2.51,1.26,0,0,0.63,8.16
