stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,61.94,0,0,0,51.61,0
12hpf,1.93,0,55.9,17.35,0,0,0,75.18,0
14hpf,0,123.72,20.06,6.69,0,0,0,13.38,0
16hpf,4.1,303.52,36.91,0,0,0,0,0,0
19hpf,0,72.24,10.95,0,0,0,0,0,2.19
24hpf,0,266,0,0,0,0,0,0,0
2dpf,0.83,15.01,1.67,1.67,0.83,0,0,0,0.83
3dpf,0,2.87,0,0,0,0,0,0,0
5dpf,3.1,28.43,1.55,1.03,10.85,1.03,1.03,2.07,4.13
10dpf,0.63,49.58,1.88,0,3.14,0,0,0.63,1.26
