stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,periderm
2dpf,0,0,0,0,1.67
3dpf,0,0.57,0,0,2.87
5dpf,0,0,1.03,0.52,4.65
10dpf,1.26,1.26,0.63,0,2.51
