stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,20.65,0
12hpf,1.93,0,0,0,0,0,0,84.82,1.93
14hpf,0,0,0,0,0,0,0,107,0
16hpf,4.1,0,0,0,0,0,0,395.81,2.05
19hpf,0,0,0,0,30.65,0,0,148.86,0
24hpf,8,0,0,0,14,0,0,715,0
2dpf,5,0,0,0.83,3.34,3.34,0,25.02,0.83
3dpf,6.32,0.57,0,0,1.72,21.84,0,14.37,1.15
5dpf,1.03,0.52,0.52,2.58,2.58,32.56,0.52,35.66,3.1
10dpf,6.28,0.63,2.51,0,6.9,3.14,0,15.06,0.63
