stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0,2.5,0.83,0,0.83
3dpf,18.96,1.15,1.15,0,0.57
5dpf,0,1.03,0.52,0,0
10dpf,5.02,0,1.88,0.63,0.63
