stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,notochord,periderm
24hpf,0,0,2,0,0,0
2dpf,0.83,0,4.17,0,0,0.83
3dpf,0,0,1.72,0.57,0,0
5dpf,0.52,1.55,8.27,1.03,0.52,0
10dpf,0,2.51,5.65,0,0,0
