stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,30.97
12hpf,0,0,0,0,0,0,0,0,5.78
14hpf,0,0,0,0,0,0,0,0,170.54
16hpf,0,0,0,0,0,0,0,0,32.81
19hpf,0,0,0,0,0,0,0,0,639.24
24hpf,5,0,0,0,0,0,1,4,204
2dpf,40.87,1.67,4.17,5,5.84,16.68,1.67,4.17,643.91
3dpf,16.09,8.62,0,0.57,2.3,10.34,0,0.57,214.92
5dpf,2.07,6.72,0.52,1.03,0.52,10.34,1.03,1.55,610.89
10dpf,5.65,4.39,0,0.63,0,5.65,0,1.26,121.74
