stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0.83,0,0.83,15.85,1.67,4.17,4.17
3dpf,0,0,0.57,4.02,0,0.57,1.72
5dpf,0.52,0.52,0,18.09,6.72,4.65,3.1
10dpf,0,0.63,0.63,7.53,0,1.26,1.26
