stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0,0,0,0,0.83,0
3dpf,1.15,0,0,0,0,0,0
5dpf,0,0,2.58,0,3.1,0,1.03
10dpf,0,1.26,13.81,0.63,0.63,0,1.26
