stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,0.83,0,0,0,0,0,0.83,0
3dpf,6.9,1.15,0.57,0.57,0,0,1.15,1.72
5dpf,2.07,0.52,1.55,4.13,0,0.52,0,7.24
10dpf,4.39,0,0,3.77,0.63,0,0,1.26
