stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,4.17,1.67,0.83,0.83,4.17,4.17
3dpf,27.01,0.57,0.57,0,0.57,2.3
5dpf,3.1,0.52,1.55,1.03,1.55,6.72
10dpf,8.16,0.63,0.63,0,0,5.02
