stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,10.32,0,0,0
12hpf,21.21,0,0,0,1.93,9.64,0,1.93,1.93
14hpf,30.09,0,0,0,0,63.53,3.34,3.34,6.69
16hpf,38.97,6.15,0,0,2.05,59.47,0,0,4.1
19hpf,13.14,0,0,0,2.19,17.51,0,0,0
24hpf,24,1,0,0,2,58,0,1,0
2dpf,30.86,0,0.83,1.67,4.17,61.72,0,1.67,2.5
3dpf,51.72,0,0,0.57,0,21.26,0,0,1.15
5dpf,3.62,0,0,0.52,0,9.3,1.03,0.52,2.07
10dpf,12.55,0,1.26,0.63,0,10.04,0,0,1.26
