stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
3dpf,2.3,0.57,0,0,0,0.57
5dpf,0,0,0.52,0.52,0,0.52
10dpf,1.26,0.63,0.63,5.02,0.63,1.26
