stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,0,0,0,0,0,0,0,1.67
3dpf,2.3,0,0,1.72,0.57,0,0,1.15
5dpf,1.03,2.07,0.52,1.55,0,0.52,0.52,8.79
10dpf,4.39,0.63,0,1.26,0.63,0,0,4.39
