stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,72.26,10.32,0,30.97,0,0,10.32,134.2,10.32
12hpf,125.3,3.86,3.86,13.49,0,0,23.13,106.03,3.86
14hpf,60.19,0,0,6.69,0,3.34,13.38,107,107
16hpf,16.41,2.05,2.05,4.1,0,14.36,0,73.83,36.91
19hpf,6.57,0,0,0,0,0,2.19,17.51,4.38
24hpf,3,0,0,2,1,0,0,12,0
2dpf,5,0,2.5,38.37,60.05,0.83,0.83,23.35,1.67
3dpf,0.57,0,2.3,1.15,32.18,0,0,1.72,1.15
5dpf,1.55,0,1.55,4.13,34.11,0,0,4.65,3.62
10dpf,0,0,0.63,0,15.69,0,0,0.63,0.63
