stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0,0,0,0,0.83,0
3dpf,2.3,0,0,0,0,0.57
5dpf,0,0,2.58,0,0.52,1.55
10dpf,4.39,0.63,10.67,0.63,1.88,0.63
