stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,0,0,0,8.34
3dpf,2.3,1.15,0,0,0,14.37
5dpf,4.65,1.03,0.52,1.03,0.52,36.18
10dpf,1.88,0,0.63,0,0,15.69
