stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,periderm
2dpf,0,0,0,0.83,0,0,0
3dpf,2.87,0.57,1.15,0,0,0,2.87
5dpf,0,0,0.52,2.58,1.03,0.52,14.47
10dpf,0,0,1.26,1.88,0,0,1.26
