stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,20.65,0,0,0,10.32,0,0,0,20.65,10.32
12hpf,34.7,13.49,0,3.86,13.49,1.93,0,17.35,165.79,0
14hpf,3.34,0,3.34,3.34,3.34,0,0,6.69,30.09,0
16hpf,8.2,4.1,2.05,2.05,6.15,4.1,4.1,0,77.93,20.51
19hpf,10.95,0,4.38,0,4.38,4.38,50.35,2.19,6.57,54.73
24hpf,16,2,99,5,12,10,122,1,24,16
2dpf,81.74,1.67,35.87,21.69,91.75,156.81,87.58,4.17,50.88,55.88
3dpf,137.34,2.87,33.9,6.32,29.31,400.53,12.64,0,22.99,23.56
5dpf,25.84,2.58,84.76,19.64,16.54,206.73,40.83,6.2,34.11,87.86
10dpf,58.99,0.63,95.39,16.32,16.32,282.39,32,0,20.71,12.55
