stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,10.32
12hpf,0,11.57,0,0,1.93,0,0,0,0
14hpf,3.34,0,0,0,0,0,0,0,173.88
16hpf,0,22.56,0,2.05,2.05,0,2.05,2.05,233.79
19hpf,4.38,2.19,0,2.19,8.76,0,0,0,1447.05
24hpf,7,10,23,13,7,2,4,10,459
2dpf,53.38,7.51,93.42,31.69,24.19,30.03,49.21,10.84,657.25
3dpf,49.99,43.1,35.05,12.07,4.02,24.71,1.15,1.15,204
5dpf,17.57,52.2,120.42,35.14,6.2,54.27,16.02,10.34,963.37
10dpf,50.83,114.84,115.47,48.95,10.04,67.77,25.1,7.53,313.77
