stage,central_nervous_system,endoderm,mesenchyme,periderm
24hpf,0,0,0,36
2dpf,0,0,0,0.83
3dpf,0.57,0,0,5.17
5dpf,0,0,0,6.2
10dpf,0.63,0.63,0.63,8.79
