stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,4.17,0,0,0.83,0.83,0,2.5,0
3dpf,67.23,0.57,0,0.57,7.47,0,0,0
5dpf,5.69,2.07,1.03,0.52,6.72,0,2.58,4.65
10dpf,21.34,1.88,0.63,0.63,3.14,0.63,1.26,0
