stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,41.29,0,0,0,0,0,0,0,0
12hpf,73.25,7.71,0,0,0,0,0,0,0
14hpf,16.72,0,0,0,0,0,0,0,3.34
16hpf,26.66,0,0,0,0,0,0,0,0
19hpf,70.05,0,0,0,0,0,0,0,0
24hpf,129,0,0,1,1,0,0,2,0
2dpf,218.53,0,5.84,0.83,7.51,21.69,3.34,8.34,5
3dpf,855.07,1.72,1.72,0.57,2.3,18.96,0,2.87,4.6
5dpf,23.26,2.07,0.52,1.55,1.55,12.92,1.03,3.62,15.5
10dpf,161.28,0,3.77,0,0,3.14,0,0.63,3.77
