stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,41.29,0,0,0,0
12hpf,0,0,0,1.93,65.54,0,0,0,0
14hpf,0,3.34,3.34,13.38,16.72,0,0,0,10.03
16hpf,2.05,0,0,0,20.51,0,0,2.05,12.3
19hpf,0,0,2.19,0,19.7,0,0,0,6.57
24hpf,0,0,2,0,21,0,0,1,2
2dpf,7.51,1.67,1.67,0.83,18.35,7.51,0,1.67,3.34
3dpf,2.3,0.57,0.57,1.72,4.6,19.54,0.57,0,2.87
5dpf,3.62,1.55,6.2,4.13,5.17,19.64,0,1.03,15.5
10dpf,0.63,2.51,6.28,2.51,2.51,21.96,0,1.26,8.79
