stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,2756.23,61.94,30.97,0,474.86,41.29,0,30.97,1021.97,794.87
12hpf,2716.2,98.32,21.21,102.17,661.22,75.18,5.78,57.83,1148.94,794.23
14hpf,1712.06,36.78,96.97,90.28,287.57,107,23.41,16.72,621.96,451.42
16hpf,1242.8,51.27,67.68,53.32,375.3,133.3,43.07,32.81,510.65,420.42
19hpf,1698.81,17.51,10.95,35.03,166.38,72.24,35.03,6.57,146.68,212.35
24hpf,1053,15,59,50,241,85,34,6,174,135
2dpf,643.91,16.68,65.89,123.44,371.16,537.98,79.24,5,237.71,269.41
3dpf,1826.22,17.81,32.18,44.82,49.99,648.77,23.56,0,57.46,83.32
5dpf,302.86,29.98,163.32,151.95,75.46,745.27,57.88,46.51,155.57,519.93
10dpf,788.18,33.89,134.92,79.07,30.75,520.22,40.79,0.63,72.79,82.83
