stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
24hpf,0,1,0,0,0
3dpf,0.57,0,0,0,0
5dpf,0.52,0,16.54,0.52,0
10dpf,0,0,11.92,0,0.63
