stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,1001.33,0,0,0,0,0,0,10.32,10.32
12hpf,1490.15,9.64,0,17.35,1.93,0,1.93,38.56,34.7
14hpf,401.26,0,0,0,3.34,3.34,0,0,6.69
16hpf,328.13,2.05,2.05,18.46,6.15,2.05,0,8.2,16.41
19hpf,267.08,0,0,4.38,4.38,0,0,0,0
24hpf,96,1,0,4,1,3,0,4,0
2dpf,116.77,0,0.83,9.17,21.69,5,0,13.35,0
3dpf,39.08,0,0,2.3,25.28,0.57,0,1.15,0
5dpf,5.17,0.52,0,0,17.06,1.55,0.52,2.07,1.03
10dpf,4.39,1.26,0,0.63,5.65,5.65,0,1.88,0.63
