stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0,0,0,3.34
3dpf,1.72,0,0.57,0,0.57
5dpf,1.55,0,0.52,2.58,3.62
10dpf,0,1.26,0,0,2.51
