stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,10.32,0,0,0,0,0,10.32,0
12hpf,48.19,32.77,0,0,0,0,11.57,9.64,3.86
14hpf,6.69,3.34,0,0,3.34,0,16.72,13.38,6.69
16hpf,2.05,22.56,0,0,0,0,8.2,8.2,6.15
19hpf,4.38,0,0,2.19,2.19,0,2.19,2.19,6.57
24hpf,6,1,1,2,0,0,0,2,0
2dpf,24.19,0,0,7.51,5,4.17,0,5.84,26.69
3dpf,33.33,0,0,1.15,6.32,0.57,0,0,10.92
5dpf,10.34,1.03,0.52,0,4.65,0,0,4.65,27.39
10dpf,5.02,0,0,0,0.63,0,0,0,0
