stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,periderm
2dpf,0,14.18,0,0.83
3dpf,0,2.87,0,0
5dpf,0,4.65,0,0
10dpf,0.63,10.04,0.63,0
