stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,5,0,0,0,0.83,0,0
3dpf,7.47,0,0,0,0,0,0.57
5dpf,3.62,0,1.03,0.52,2.07,0.52,0
10dpf,11.3,1.26,0,0.63,11.92,0.63,0.63
