stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0
12hpf,1.93,0,0,0,0,0,0,0,1.93
14hpf,20.06,0,0,0,0,0,0,0,3.34
16hpf,16.41,4.1,0,2.05,4.1,0,0,2.05,4.1
19hpf,19.7,0,0,4.38,2.19,0,0,0,2.19
24hpf,83,2,0,8,25,18,7,10,2
2dpf,176.82,1.67,0,30.03,96.75,201.85,34.2,103.43,14.18
3dpf,47.12,0.57,0,9.77,20.11,303.99,2.3,20.11,2.87
5dpf,55.82,2.58,3.1,14.99,17.06,200.01,7.75,24.29,9.82
10dpf,18.83,1.26,0.63,5.02,6.9,160.65,8.16,18.83,0.63
