stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
3dpf,0.57,0,0,0,0,0
5dpf,0,0,0.52,0,1.03,0.52
10dpf,1.26,1.26,1.26,1.26,9.41,0.63
