stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme
2dpf,0.83,0,0.83,0
3dpf,2.3,0.57,0,0
5dpf,1.55,9.82,0,1.55
10dpf,1.26,20.08,0,0.63
