stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,3.34,0,0.83,3.34,0,0,0
3dpf,16.66,0,0,6.9,0,0,0.57
5dpf,1.03,1.03,0,7.24,0.52,0,3.62
10dpf,13.81,0,0,6.9,0,0.63,0.63
