stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,474.86,0,0,0,0,0,0,0,0
12hpf,277.6,0,0,0,3.86,0,0,1.93,46.27
14hpf,344.42,0,0,3.34,3.34,3.34,0,3.34,197.29
16hpf,295.32,2.05,0,2.05,0,4.1,0,10.25,149.71
19hpf,374.35,0,0,2.19,0,2.19,0,0,168.57
24hpf,246,0,1,2,4,2,0,12,81
2dpf,80.91,0,2.5,4.17,7.51,21.69,0,6.67,168.48
3dpf,208.6,5.17,1.15,0,0,20.11,0,0.57,83.32
5dpf,37.73,2.07,2.58,2.07,1.55,31.01,1.55,0.52,266.68
10dpf,47.69,4.39,0.63,1.26,0,10.67,0.63,0,65.26
