stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,4.17,0.83,0.83,4.17,0,0,0.83,0
3dpf,4.02,0,1.15,2.3,0,0,0.57,0
5dpf,1.03,0,0,2.07,0.52,0.52,1.55,4.13
10dpf,5.65,0,0.63,1.88,0,0,0,0.63
