stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,0.83,0,0.83,0,0
3dpf,0,3.45,0,0.57,0
5dpf,0,4.65,1.03,0,0.52
10dpf,1.26,70.28,0.63,1.26,0
