stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,51.61
12hpf,0,0,7.71,0,0,0,0,0,5.78
14hpf,0,0,13.38,0,0,0,0,0,280.88
16hpf,0,0,0,0,0,0,0,0,4.1
19hpf,0,0,2.19,0,0,0,0,0,50.35
24hpf,4,0,13,0,0,0,0,0,2
2dpf,11.68,1.67,2.5,3.34,3.34,2.5,0,0.83,266.07
3dpf,414.32,6.32,2.3,1.15,1.15,17.24,0,0,133.32
5dpf,35.66,7.75,21.19,3.62,1.55,8.79,2.07,2.58,264.62
10dpf,78.44,4.39,3.77,3.14,1.88,5.02,1.26,0.63,61.5
