stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,5,0,0,0,0.83,0,0,0
3dpf,44.82,0.57,0,0,0,0,0.57,0.57
5dpf,7.24,1.03,2.07,1.03,5.17,0.52,1.55,2.58
10dpf,44.55,0,0,0,1.26,0,0,0
