stage,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0,2.5,0,0.83,8.34
3dpf,0,0.57,0.57,0,1.15
5dpf,0.52,0.52,0.52,0,12.4
10dpf,0,1.26,0,0,1.88
