stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,6.67,0,0,2.5,5,0,0,0,5.84
3dpf,16.09,0,0,0.57,1.72,0,0,0,0.57
5dpf,12.4,0.52,0,1.03,3.62,0.52,0.52,2.07,2.58
10dpf,132.41,1.88,2.51,1.88,3.77,0,0,0.63,1.26
