stage,endoderm,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,1.67,0.83,80.91
3dpf,0,0,0,0.57,0.57
5dpf,0.52,0.52,0.52,0,8.27
10dpf,0,0,0,0,1.26
