stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0,0,0,0,0,3.34
3dpf,0.57,0,0,0.57,0.57,0,0
5dpf,0,0.52,3.62,0,1.03,0.52,0
