stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm
10hpf,10.32,0,0,0,0,0
2dpf,19.18,0,0,0,0.83,0
3dpf,6.9,0,0,0.57,0,0
5dpf,13.44,0.52,1.03,0.52,0,0.52
10dpf,5.65,0,0.63,0.63,0,0
