stage,central_nervous_system,mesenchyme,paraxial_mesoderm,periderm
2dpf,10.84,0,0,1.67
3dpf,14.94,0.57,0,1.72
5dpf,54.78,1.03,0.52,3.1
10dpf,7.53,0,0,4.39
