stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
14hpf,0,0,0,0,0,0,3.34,0
2dpf,0,0.83,2.5,0.83,0.83,2.5,0,10.84
3dpf,0.57,0.57,2.3,0.57,1.72,0,0,2.87
5dpf,0.52,2.07,13.44,0,0.52,1.03,0.52,14.99
10dpf,1.26,0.63,5.65,0,0,2.51,0,2.51
