stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme
2dpf,0.83,0,0,0,0
3dpf,2.3,0,0,0,0
5dpf,5.17,0.52,0,0.52,0.52
10dpf,19.45,0,0.63,0,0.63
