stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,neural_crest,periderm
3dpf,47.7,0,0,0,0,0
5dpf,2.58,0,0.52,0.52,0.52,0.52
10dpf,18.2,0.63,0.63,0,0,0
