stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0.83,0.83,0,0.83,0.83,0,1.67
3dpf,7.47,0.57,0,3.45,0,0.57,0.57
5dpf,0.52,2.07,0,1.55,0,0.52,2.58
10dpf,6.28,0.63,0.63,3.77,0,0,0.63
